CASE_NUM,Pe,tau,RAE
36,0.33704627676720095,57.34115683422213,0.1542683809672555
37,0.33641631342453276,56.72167400786585,0.17011576945029178
38,0.3356604334036848,56.16870694323062,0.18954200488818024
39,0.33476298335173077,55.700125752753074,0.21389872412083588
40,0.3337633312690979,55.337726914035514,0.24533258092495983
41,0.33262113460073456,55.095249499388004,0.28735967172998406
42,0.33132201707150594,54.986550147455375,0.3463838736606884
43,0.3298710702304515,54.99689937582619,0.4351485220019692
44,0.32824920482338343,55.119073809605105,0.5834287045421885
45,0.3264216042194921,55.35992676451909,0.8806213233989433
136,0.30967626624590777,42.31333466371479,0.10433946563272169
137,0.31983633282783047,42.16296636738154,0.10731891634511034
138,0.3295629088959914,42.06823659471188,0.11070256313925039
139,0.3400719127380021,42.13769066691952,0.11417516601294096
140,0.3548711214709561,42.61598848628882,0.11649058158210082
141,0.38048526923029374,46.035820584560874,0.11464886002703213
142,0.41246712023800036,65.26033450863679,0.11153007023170197
143,0.4256713231713004,83.62558678159155,0.11901764136449419
144,0.4286452123100692,81.9277687282653,0.13567474225119525
145,0.42639460085395303,74.2236028615927,0.16012686573435844
146,0.4204186487913253,67.10246095668931,0.1950557346504954
147,0.4100616279078019,61.78447471523357,0.24711414797883935
148,0.39585875326113507,59.283184752615526,0.3288521266337757
149,0.38247666063647634,59.16143626853891,0.46860884620160786
150,0.3714636348962036,59.91495070540406,0.7514856236410327
151,0.3042474954784207,42.89644174039082,0.10729509253057944
152,0.313677379226645,42.79194846636329,0.11040385487304434
153,0.3255302364102146,42.612259159387904,0.11316727632634224
154,0.3364049625904967,42.55723329991464,0.11653659846374681
155,0.3488549658158348,42.75782283268906,0.11978052491388708
156,0.36804094297207074,43.8878131508339,0.12059357379248924
157,0.40002668282954756,53.122477493445395,0.11655638196405733
158,0.4250328118985461,78.83572406908043,0.11807860286513665
159,0.43146782399069195,84.33610896549368,0.13258625037163188
160,0.4303283194473266,77.07387993275569,0.156130138393873
161,0.42477484410314764,69.41485028561924,0.19026973177440296
162,0.41455844087237637,63.44653919457788,0.24146511707091903
