CASE_NUM,alpha,beta,gamma,RAE
166,0.07721525011166869,0.9419528605154824,0.26072177002361374,0.24170905126316228
167,0.07708116944244553,0.94912142852,0.22217564227948855,0.2418945947102409
168,0.12515803070725312,0.9441077646423841,0.24630292495652367,0.27743683418218495
169,0.1697073863840381,0.8918168294211749,0.24116973891677007,0.28643780177376243
170,0.2182670426439582,0.8489942128872804,0.27750182564733805,0.3124789085678498
171,0.2784707067747344,0.7418325242241973,0.2880216596714249,0.31476642871443067
172,0.3501398230554461,0.6661325825829126,0.27275133034883803,0.2988799389758481
173,0.38485341423495345,0.6740481746301968,0.22663707746580025,0.2640805522219378
174,0.3820430504966851,0.8812892673459667,0.21780414343323534,0.25605175123465485
175,0.36617619838874216,0.9396160614143624,0.22382263612238773,0.2549816707132906
176,0.34551279151256864,0.9177842110896568,0.22898153174919256,0.2547364223554398
177,0.3130079863411238,0.9480260240128864,0.24152671142497828,0.2640303247933912
178,0.2668643879588045,0.9087265795818713,0.21982344225009293,0.23958612338297006
179,0.206672028767597,0.936381734586325,0.19389607388926589,0.21602594275006318
180,0.1419764024818369,0.9148112255784151,0.15628836032371374,0.1810986227435274
226,0.0766166798392518,0.9489765687499534,0.38179051771502615,0.2713918074850011
227,0.07549578292708031,0.9478027675036295,0.37226441489164797,0.26610879242476354
228,0.07573124125616848,0.9488691389312862,0.3600871999723887,0.2587114810240971
229,0.07577523312735729,0.9484914194073741,0.36106809935143963,0.2612116647383913
230,0.07580664757575162,0.9493516353250828,0.3488214029548664,0.2543891520560184
231,0.07577487097432933,0.9489203839573479,0.3429727296494755,0.25282980822835804
232,0.07577531715742797,0.9498546303547531,0.32298540607877757,0.24157298669231644
233,0.07582151070077031,0.9447345600057204,0.30542382945201474,0.2333893360140919
234,0.07572579773788901,0.9494748286215912,0.2887530444335004,0.22812220093638083
235,0.07554174047453383,0.9496233505020484,0.25140142739054183,0.2111078705767546
236,0.07577793826575902,0.9495071565352856,0.22512961768597883,0.2094573712208263
237,0.09291919545374955,0.9475887387495745,0.2060732494499954,0.21219569179072184
238,0.22358225156639505,0.9494266122476087,0.26236986930705936,0.2920615682698699
239,0.4643509622179328,0.9431837725863809,0.20456016397421578,0.2507022786569831
240,0.33092496846667563,0.936786550909126,0.1646510130448972,0.19913304943589574
241,0.07583892373779394,0.9480988333679206,0.36539876833421403,0.2628116201857424
242,0.07577523312735729,0.9489436498408845,0.36106809935143963,0.2610298959125135
243,0.07582555040970312,0.944190348593475,0.3460020639972095,0.2515319226317521
244,0.07578824663204026,0.9491774268089161,0.3541794536413676,0.2595234177016411
