CASE_NUM,Pe1,Pe2,tau1,tau2,RAE
29,0.378097075910685,7.730424057060663e-05,56.176871663877264,2881.239569684112,0.5810446640374441
30,0.3755069776543752,7.778475628415158e-05,56.37290598799488,4110.831815742339,0.8770889018369564
31,0.3504411781847276,62.43407189245879,0.8514494618835381,0.10430403517220586,0.12263595392196266
32,0.3508742785383871,61.65416609016643,0.8259367804525853,0.1114213413517869,0.13059043088925873
33,0.3512739574378158,60.88545381201126,0.7992976270034706,0.11957511811605094,0.13967653970491223
34,0.3516269500308854,60.129349444439065,0.7713219499081801,0.1290083931907377,0.15015802891784846
35,0.35191806972502265,59.39393492426286,0.7420441076302292,0.14004386347225942,0.16239297498457117
36,0.35218730198943954,58.69710546027601,0.7112669256071756,0.15312449733266867,0.17686989293226593
37,0.3523929908765882,58.048473057386175,0.6787800949528147,0.1688706404696425,0.19428296138422557
38,0.3525788920087857,57.464162898272555,0.6444100851309277,0.1881781089479084,0.21564304747433288
39,0.35273198800899835,56.96126429625183,0.6081359243176445,0.21239346010281682,0.24249029152946838
40,0.3529678246565712,56.56301575744761,0.5690061537923615,0.24365414243315173,0.2772851234199955
41,0.385703398364096,7.628150762457516e-05,56.323774749858075,1634.7886881307004,0.2856323604633134
42,0.3536980317588617,0.4851632053143227,56.13426590075082,0.39076828837120464,0.3441864517635936
43,0.3538918061003562,0.44125420450325414,56.10421455687127,0.49243712199841094,0.4325147731410308
44,0.3787920704386948,7.727901971527122e-05,56.258928285650434,2913.908742846409,0.5801571768527274
45,0.3760201644253947,7.721370831691819e-05,56.46387468248093,4182.463676966916,0.8758573450101964
136,0.2943923244275478,43.09549404754475,0.5010625279167883,0.1034578281860953,0.11171011215241884
137,0.2922098599146621,43.14280821314775,1.0079294079326682,0.10595461874474169,0.1193054008285109
138,0.2660124050060216,43.38374366463922,1.9297633070603966,0.10832635785408966,0.13368748875109315
139,0.22968086814555413,44.34916142186175,3.6999380024010478,0.10961654945984764,0.14807840091492194
140,0.19516066593057313,49.98086726879883,8.318860389788565,0.1067319017931471,0.16020224342688932
141,0.14221828459586186,65.07084065968591,13.194651743692198,0.10262248795844031,0.1605111938213161
142,0.1523719837008808,97.63143241248069,17.580672721831203,0.10218094212650462,0.15598161963078197
143,0.1698170161040852,120.39043270227441,19.653079583810495,0.11102430399515903,0.16494366885129172
144,0.1743350624294123,117.08171264691778,18.011839462146565,0.1267661953702117,0.1908635905505196
145,0.1775735110197626,106.6677660380598,16.019539860577353,0.14904781163219905,0.2286165513491768
146,0.1819186101115317,95.92069967078804,13.975980754539478,0.1809545905843913,0.28238164092517615
147,0.1901806913627284,86.24862770614519,11.929677305679819,0.229091303680941,0.36188158063251813
148,0.20716683364305677,9.661884768368408,78.55432555965344,0.4860353800747209,0.30662387178293127
149,0.24076312701422,6.77815777178868,72.11870305754239,0.6950702632131762,0.443652295500034
150,0.45223299270765555,6.385918715298862e-05,62.039992083911585,8731.814621291183,0.7455390904213572
151,0.29244275995846125,43.58001696529185,0.2482484496023396,0.10659287965096531,0.134877160648764
152,0.2940871436091872,43.609227182175815,0.5658966897814555,0.10942160620428988,0.11908205927755774
153,0.2846357635961528,43.702995759538325,1.2878173592366093,0.11145590991862185,0.13044251572346943
154,0.24439478968647754,44.17679496081785,2.6180175738784963,0.11325581154321543,0.14630948456504117
155,0.2148956883675092,46.50130089450445,5.626295118453608,0.11271720436060388,0.16070003129863739
156,0.15904349763749825,56.56910927754724,11.171143237743204,0.10856629716551368,0.16734561371501147
157,0.13959430743270385,79.3904010749195,15.666085111333475,0.10505426585879847,0.16323105469834975
158,0.1631397490482768,115.18952139551627,19.678970133126793,0.1095941578640195,0.16361439462032965
159,0.17150884333922634,120.18071518214074,18.90845675084418,0.12395680527867853,0.18536489858024882
160,0.1739814395396202,110.67881445833737,16.887506713959954,0.14550809891279762,0.22188205168452685
161,0.17695015750659884,99.44568228259674,14.738713107548655,0.17667769746394366,0.27444764923357673
162,0.18358714345644242,89.25800057536978,12.646285557197507,0.22385564330486044,0.35263429320923656
163,0.19879772563834427,10.412334991838991,81.26671051355251,0.4753394491307245,0.30008412676695445
164,0.2291983413609685,7.640093261103351,74.90398733346852,0.6841589209359009,0.4348099736329676
165,0.2934239188452393,3.934233923969716,67.99050277213267,1.0728877778466415,0.7178575379131943
166,0.2939904000573807,43.704228468766836,0.1937316841942744,0.10724103014016449,0.15648205389137218
