,mass_fraction,time
626,0.000243287137232,0.8547059699999999
627,0.0002422750794788,0.856071315
628,0.0002413164006401,0.85743666
629,0.000240409114709,0.8588020049999999
630,0.0002395505730194,0.86016735
631,0.0002387364305614,0.861532695
632,0.0002379623271188,0.8628980399999999
633,0.0002372241664623,0.864263385
634,0.0002365181931517,0.86562873
635,0.0002358409574893,0.8669940749999999
636,0.000235188521657,0.86835942
637,0.0002345577377866,0.869724765
638,0.0002339463638775,0.8710901099999999
639,0.0002333522436517,0.872455455
640,0.0002327732844321,0.8738208
641,0.0002322072631077,0.875186145
642,0.0002316520926036,0.87655149
643,0.0002311052602821,0.877916835
644,0.0002305642110731,0.87928218
645,0.00023002607895,0.880647525
646,0.0002294877797789,0.88201287
647,0.0002289463889416,0.883378215
648,0.0002283996020467,0.88474356
649,0.0002278454824811,0.886108905
650,0.0002272824831857,0.88747425
651,0.0002267092822014,0.888839595
652,0.0002261247708639,0.89020494
653,0.0002255280526737,0.891570285
654,0.0002249184405266,0.89293563
655,0.0002242954544062,0.8943009749999999
656,0.0002236588148073,0.89566632
657,0.0002230084314343,0.897031665
658,0.0002223443284656,0.8983970099999999
659,0.0002216667307563,0.899762355
660,0.0002209760893759,0.9011277
661,0.0002202728584887,0.902493045
662,0.0002195578412856,0.90385839
663,0.0002188322071939,0.905223735
664,0.0002180967200615,0.90658908
665,0.0002173522167034,0.907954425
666,0.0002165990101659,0.90931977
667,0.0002158354881012,0.910685115
668,0.0002150592748719,0.91205046
669,0.0002142690484697,0.913415805
670,0.0002134639591144,0.91478115
671,0.0002126425521416,0.916146495
672,0.000211802448256,0.91751184
673,0.0002109409724816,0.918877185
674,0.0002100556522542,0.92024253
675,0.0002091442572265,0.921607875
676,0.0002082050473481,0.92297322
677,0.0002072368291191,0.924338565
678,0.000206238916666,0.92570391
679,0.0002052114695686,0.927069255
680,0.000204155588517,0.9284346
681,0.0002030733351303,0.929799945
682,0.0002019676070332,0.93116529
683,0.0002008420715008,0.932530635
684,0.0001997013159197,0.93389598
685,0.00019854975818,0.935261325
686,0.0001973919154076,0.93662667
687,0.000196232357811,0.937992015
688,0.0001950753907594,0.93935736
689,0.0001939250574236,0.940722705
690,0.0001927850186401,0.94208805
691,0.0001916581805083,0.943453395
692,0.0001905468064068,0.94481874
693,0.0001894527022982,0.946184085
694,0.0001883749652327,0.94754943
695,0.0001873129745655,0.948914775
696,0.000186267842685,0.95028012
697,0.0001852403704899,0.951645465
698,0.000184231177175,0.95301081
699,0.0001832407568516,0.954376155
700,0.0001822687860025,0.9557415
701,0.0001813140986736,0.957106845
702,0.0001803767381388,0.95847219
703,0.0001794567331821,0.959837535
704,0.0001785538011445,0.96120288
705,0.0001776673853205,0.962568225
706,0.0001767967670204,0.96393357
707,0.0001759411693681,0.965298915
